dataset,split,wilds_split,sample_index,label,pred,score,uncertainty,error,ctx_meta_location,ctx_meta_sequence,ctx_meta_year,ctx_meta_month,ctx_meta_day,ctx_meta_hour
iwildcam_wilds,calib,id_val,0,8,8,0.542560338973999,0.3230596780776977,0,0.3333333432674408,0.0570867843925952,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,1,8,8,0.9759078025817872,0.0348208546638488,0,0.3333333432674408,0.0570867843925952,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,2,8,8,0.9762598276138306,0.0344716608524322,0,0.3333333432674408,0.0570867843925952,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,3,8,8,0.9657711386680604,0.0502550601959228,0,0.3333333432674408,0.0570867843925952,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,4,8,8,0.9953951239585876,0.0081975786015391,0,0.3333333432674408,0.0570867843925952,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,5,8,8,0.9676037430763244,0.0360933393239975,0,0.3333333432674408,0.0570867843925952,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,6,8,8,0.9987747073173524,0.0024360141251236,0,0.3333333432674408,0.0571156442165374,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,7,8,8,0.9822889566421508,0.0219078566879034,0,0.3333333432674408,0.0571156442165374,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,8,8,8,0.9935392737388612,0.0106330122798681,0,0.3333333432674408,0.0571156442165374,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,9,8,4,0.7850127220153809,0.1863652318716049,1,0.3333333432674408,0.0571156442165374,0.999503493309021,0.5,0.5555555820465088,0.2272727340459823
iwildcam_wilds,calib,id_val,10,145,4,0.6606658101081848,0.2559154629707336,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,11,145,4,0.8564963340759277,0.1415247321128845,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,12,145,4,0.828313946723938,0.1607814580202102,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,13,145,4,0.8070632219314575,0.1767288595438003,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,14,145,4,0.8314473032951355,0.1627936661243438,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,15,145,4,0.800921618938446,0.182318314909935,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,16,145,4,0.8260478973388672,0.1621415019035339,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,17,145,4,0.847903847694397,0.1513155251741409,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,18,145,4,0.763054370880127,0.2108183652162552,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,19,145,4,0.8983870148658752,0.1088241636753082,1,0.3333333432674408,0.0571445077657699,0.999503493309021,0.5,0.5555555820465088,0.9545454382896424
iwildcam_wilds,calib,id_val,20,2,145,0.4290575385093689,0.4316562414169311,1,0.3333333432674408,0.0666108652949333,0.999503493309021,0.875,0.9629629850387572,0.3181818127632141
